title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
Reset: How to Change What's Not Working,Dan Heath,"business, self-help",2026-06-02,2026-06-11,2026,231,False,2-Jun,11-Jun
The Unconguerable Game My Life in Golf and Business,Ely Callaway,"biography, business, golf",2026-06-12,2026-06-24,2026,281,False,12-Jun,24-Jun
Broken Supply Chains,Jeff Leimbach,"business, supply chain",2026-06-25,2026-06-30,2026,208,False,25-Jun,30-Jun
Endurance: Shackletons Incresible Voyage,Alfred Lansing,story,2026-07-02,2026-07-09,2026,353,False,2-Jul,9-Jul
Essentialism The Disciplined Pursuit of Less,Greg McKeown,"life, mindset, self help",2026-07-10,2026-07-19,2026,261,False,10-Jul,19-Jul
How to Tell A Story,Many Authors,"self help, story",2026-07-22,2026-08-05,2026,282,False,22-Jul,5-Aug
Secrets of Analytical Leaders,Wayne Eckerson,"analytics, data",2026-08-06,2026-08-14,2026,237,False,6-Aug,14-Aug
The Misbehaveior of Markets,"Benoit Mandelbrot, Richard Hudson","econ, finance",2026-08-16,2026-09-06,2026,276,False,16-Aug,6-Sept
Fortune's Formula,William Poundstone,"finance, stats",2026-09-07,,2026,329,False,7-Sept,
Cancel Me if you Can,Dave Portnoy,biography,,,2026,,True,,
Inside the Box: How Constraints Make Us Better,David Epstein,business. life,,,2026,,True,,
